"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 16:46:06 GMT 2022","Mon Jul 04 16:46:08 GMT 2022","1678","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Mon Jul 04 16:46:03 GMT 2022","Mon Jul 04 16:46:05 GMT 2022","1460","","SaveTextFromPageTest","","SaveTextFromPageTest","saveTextFromAboutTest","saveTextFromAboutTest()",""
"passed","Mon Jul 04 16:46:10 GMT 2022","Mon Jul 04 16:46:11 GMT 2022","1279","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Mon Jul 04 16:45:54 GMT 2022","Mon Jul 04 16:46:01 GMT 2022","7534","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Mon Jul 04 16:45:25 GMT 2022","Mon Jul 04 16:45:27 GMT 2022","1919","","DeleteTest","","DeleteTest","deleteGetInTouch","deleteGetInTouch()",""
"failed","Mon Jul 04 16:46:01 GMT 2022","Mon Jul 04 16:46:02 GMT 2022","936","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Mon Jul 04 16:45:32 GMT 2022","Mon Jul 04 16:45:43 GMT 2022","11165","","DataFromFileTest","","DataFromFileTest","RegistrationDataTest","RegistrationDataTest()",""
"passed","Mon Jul 04 16:46:05 GMT 2022","Mon Jul 04 16:46:06 GMT 2022","1574","","SaveTextFromPageTest","","SaveTextFromPageTest","saveTextExpertiselistTest","saveTextExpertiselistTest()",""
"passed","Mon Jul 04 16:46:11 GMT 2022","Mon Jul 04 16:46:13 GMT 2022","1657","","LoginTest","","LoginTest","logTest2","logTest2()",""
"passed","Mon Jul 04 16:46:13 GMT 2022","Mon Jul 04 16:46:14 GMT 2022","566","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
"passed","Mon Jul 04 16:46:08 GMT 2022","Mon Jul 04 16:46:10 GMT 2022","1488","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Mon Jul 04 16:45:27 GMT 2022","Mon Jul 04 16:45:29 GMT 2022","1853","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
"passed","Mon Jul 04 16:46:13 GMT 2022","Mon Jul 04 16:46:13 GMT 2022","594","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"passed","Mon Jul 04 16:45:30 GMT 2022","Mon Jul 04 16:45:32 GMT 2022","1443","","LogoutTest","","LogoutTest","LogoutTest","LogoutTest()",""
"passed","Mon Jul 04 16:45:44 GMT 2022","Mon Jul 04 16:45:46 GMT 2022","2052","","ModifyExistingDataTest","","ModifyExistingDataTest","ModifyProfile","ModifyProfile()",""
"failed","Mon Jul 04 16:45:46 GMT 2022","Mon Jul 04 16:45:49 GMT 2022","2395","","ModifyExistingDataTest","","ModifyExistingDataTest","ModifyGetInTouch","ModifyGetInTouch()",""
"passed","Mon Jul 04 16:45:29 GMT 2022","Mon Jul 04 16:45:30 GMT 2022","1720","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Mon Jul 04 16:45:22 GMT 2022","Mon Jul 04 16:45:25 GMT 2022","2598","","DeleteTest","","DeleteTest","deleteProfile","deleteProfile()",""
"failed","Mon Jul 04 16:45:43 GMT 2022","Mon Jul 04 16:45:44 GMT 2022","1458","","DataFromFileTest","","DataFromFileTest","RegistrationDataTestNull","RegistrationDataTestNull()",""
"passed","Mon Jul 04 16:45:49 GMT 2022","Mon Jul 04 16:45:54 GMT 2022","5047","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Mon Jul 04 16:46:02 GMT 2022","Mon Jul 04 16:46:03 GMT 2022","915","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
